HMDB ID	KEGG ID	reference acc.
HMDB0010141	C00626	HMDB0010141
HMDB10142	C00626	HMDB0010142
HMDB0010142	C00626	HMDB0010142
HMDB10143	C00626	HMDB0010143
HMDB0010143	C00626	HMDB0010143
HMDB10144	C00626	HMDB0010144
HMDB0010144	C00626	HMDB0010144
HMDB10145	C00626	HMDB0010145
HMDB0010145	C00626	HMDB0010145
HMDB10146	C00626	HMDB0010146
HMDB0010146	C00626	HMDB0010146
HMDB10147	C00626	HMDB0010147
HMDB0010147	C00626	HMDB0010147
HMDB10148	C00626	HMDB0010148
HMDB0010148	C00626	HMDB0010148
HMDB10149	C00626	HMDB0010149
HMDB0010149	C00626	HMDB0010149
HMDB10150	C00626	HMDB0010150
HMDB0010150	C00626	HMDB0010150
HMDB10151	C00626	HMDB0010151
HMDB0010151	C00626	HMDB0010151
HMDB10152	C00626	HMDB0010152
HMDB0010152	C00626	HMDB0010152
HMDB10153	C00626	HMDB0010153
HMDB0010153	C00626	HMDB0010153
HMDB10154	C00626	HMDB0010154
HMDB0010154	C00626	HMDB0010154
HMDB10155	C00626	HMDB0010155
HMDB0010155	C00626	HMDB0010155
HMDB10156	C00626	HMDB0010156
HMDB0010156	C00626	HMDB0010156
HMDB10157	C00626	HMDB0010157
HMDB0010157	C00626	HMDB0010157
HMDB10158	C00626	HMDB0010158
HMDB0010158	C00626	HMDB0010158
HMDB10159	C00626	HMDB0010159
HMDB0010159	C00626	HMDB0010159
HMDB10160	C00626	HMDB0010160
HMDB0010160	C00626	HMDB0010160
HMDB10161	C00626	HMDB0010161
HMDB0010161	C00626	HMDB0010161
HMDB10162	C00626	HMDB0010162
HMDB0010162	C00626	HMDB0010162
HMDB10163	C02737	HMDB0010163
HMDB0010163	C02737	HMDB0010163
HMDB10164	C02737	HMDB0010164
HMDB0010164	C02737	HMDB0010164
HMDB10165	C02737	HMDB0010165
HMDB0010165	C02737	HMDB0010165
HMDB10166	C02737	HMDB0010166
HMDB0010166	C02737	HMDB0010166
HMDB10167	C02737	HMDB0010167
HMDB0010167	C02737	HMDB0010167
HMDB0012086	C00550	HMDB0010168
HMDB10168	C00550	HMDB0010168
HMDB12086	C00550	HMDB0010168
HMDB0010168	C00550	HMDB0010168
HMDB0012098	C00550	HMDB0010169
HMDB10169	C00550	HMDB0010169
HMDB12098	C00550	HMDB0010169
HMDB0010169	C00550	HMDB0010169
HMDB10199	C05959	HMDB0010199
HMDB0010199	C05959	HMDB0010199
HMDB10207	C00861	HMDB0010207
HMDB0010207	C00861	HMDB0010207
HMDB10210	C04577	HMDB0010210
HMDB0010210	C04577	HMDB0010210
HMDB10212	C13843	HMDB0010212
HMDB0010212	C13843	HMDB0010212
HMDB10217	C14732	HMDB0010217
HMDB0010217	C14732	HMDB0010217
HMDB10318	C03033	HMDB0010318
HMDB0010318	C03033	HMDB0010318
HMDB10323	C03033	HMDB0010323
HMDB0010323	C03033	HMDB0010323
HMDB10327	C03033	HMDB0010327
HMDB0010327	C03033	HMDB0010327
HMDB10328	C03033	HMDB0010328
HMDB0010328	C03033	HMDB0010328
HMDB10330	C03033	HMDB0010330
HMDB0010330	C03033	HMDB0010330
HMDB10331	C03033  	HMDB0010331
HMDB0010331	C03033  	HMDB0010331
HMDB10332	C03033	HMDB0010332
HMDB0010332	C03033	HMDB0010332
HMDB0010354	C11346	HMDB0010333
HMDB10333	C11346	HMDB0010333
HMDB10354	C11346	HMDB0010333
HMDB0010333	C11346	HMDB0010333
HMDB10337	C03033	HMDB0010337
HMDB0010337	C03033	HMDB0010337
HMDB10343	C03033 	HMDB0010343
HMDB0010343	C03033 	HMDB0010343
HMDB10346	C03033	HMDB0010346
HMDB0010346	C03033	HMDB0010346
